unix,date,symbol,open,high,low,close,volume ETH,volume USDT,tradecount
1646524800000,2022-03-06 00:00:00,ETH/USDT,2665.16000000,2668.75000000,2662.00000000,2667.89000000,1496.44430000,3989323.94699700,2851
1646521200000,2022-03-05 23:00:00,ETH/USDT,2670.07000000,2670.60000000,2657.00000000,2665.15000000,6386.93670000,17004589.19441000,12170
1646517600000,2022-03-05 22:00:00,ETH/USDT,2655.00000000,2670.84000000,2650.69000000,2670.06000000,4376.03220000,11637815.69808700,11591
1646514000000,2022-03-05 21:00:00,ETH/USDT,2666.79000000,2669.14000000,2652.48000000,2655.00000000,6767.96940000,18022239.61784500,16094
1646510400000,2022-03-05 20:00:00,ETH/USDT,2670.72000000,2681.16000000,2664.54000000,2666.78000000,9152.92320000,24459644.68996000,19203
1646506800000,2022-03-05 19:00:00,ETH/USDT,2668.16000000,2675.57000000,2664.12000000,2670.71000000,7406.97310000,19776863.05137500,15281
1646503200000,2022-03-05 18:00:00,ETH/USDT,2667.98000000,2669.85000000,2655.95000000,2668.17000000,7123.90500000,18966523.98766700,15328
1646499600000,2022-03-05 17:00:00,ETH/USDT,2659.18000000,2673.61000000,2655.31000000,2667.97000000,9313.14210000,24836421.45174400,23819
1646496000000,2022-03-05 16:00:00,ETH/USDT,2642.81000000,2685.12000000,2640.00000000,2659.17000000,16927.73470000,45056472.92389600,32557
1646492400000,2022-03-05 15:00:00,ETH/USDT,2641.65000000,2649.48000000,2636.70000000,2642.81000000,6066.70400000,16035860.48928800,22104
1646488800000,2022-03-05 14:00:00,ETH/USDT,2635.68000000,2653.15000000,2627.34000000,2641.65000000,8430.58420000,22261301.26586000,17519
1646485200000,2022-03-05 13:00:00,ETH/USDT,2653.89000000,2654.76000000,2631.22000000,2635.68000000,15461.67540000,40843681.56321100,29276
1646481600000,2022-03-05 12:00:00,ETH/USDT,2648.18000000,2672.23000000,2647.78000000,2653.89000000,22153.03950000,58923018.71327500,36966
1646478000000,2022-03-05 11:00:00,ETH/USDT,2647.84000000,2656.71000000,2644.27000000,2648.19000000,9873.18090000,26171699.60182200,22857
1646474400000,2022-03-05 10:00:00,ETH/USDT,2648.90000000,2654.64000000,2632.11000000,2647.84000000,15676.32780000,41448114.64829300,22516
1646470800000,2022-03-05 09:00:00,ETH/USDT,2650.63000000,2657.79000000,2640.73000000,2648.91000000,10893.76540000,28855264.66927100,19097
1646467200000,2022-03-05 08:00:00,ETH/USDT,2638.14000000,2655.50000000,2631.00000000,2650.63000000,11960.49230000,31618372.12424000,26357
1646463600000,2022-03-05 07:00:00,ETH/USDT,2625.87000000,2643.50000000,2622.71000000,2638.15000000,11056.30390000,29135875.10368500,20913
1646460000000,2022-03-05 06:00:00,ETH/USDT,2625.46000000,2633.93000000,2621.08000000,2625.87000000,9775.64740000,25681993.24838900,18070
1646456400000,2022-03-05 05:00:00,ETH/USDT,2617.99000000,2627.62000000,2615.04000000,2625.46000000,8557.53110000,22427188.90568700,16526
1646452800000,2022-03-05 04:00:00,ETH/USDT,2625.43000000,2628.73000000,2609.62000000,2617.99000000,13484.56140000,35331061.83827300,18276
1646449200000,2022-03-05 03:00:00,ETH/USDT,2610.00000000,2630.23000000,2608.22000000,2625.44000000,13423.42690000,35199151.55835800,27235
1646445600000,2022-03-05 02:00:00,ETH/USDT,2612.63000000,2620.00000000,2606.21000000,2610.00000000,8650.20800000,22601041.54574300,17795
1646442000000,2022-03-05 01:00:00,ETH/USDT,2594.43000000,2618.71000000,2589.38000000,2612.62000000,15230.29990000,39690931.73907600,32701
1646438400000,2022-03-05 00:00:00,ETH/USDT,2622.11000000,2622.33000000,2593.87000000,2594.44000000,20580.93910000,53723391.23300900,37578
1646434800000,2022-03-04 23:00:00,ETH/USDT,2611.71000000,2624.26000000,2605.16000000,2622.10000000,13590.75120000,35540065.84067300,23759
1646431200000,2022-03-04 22:00:00,ETH/USDT,2608.80000000,2616.94000000,2573.00000000,2611.71000000,25085.22540000,65171496.47016900,49596
1646427600000,2022-03-04 21:00:00,ETH/USDT,2614.45000000,2628.01000000,2603.39000000,2608.81000000,13218.15340000,34550754.88442500,24615
1646424000000,2022-03-04 20:00:00,ETH/USDT,2617.20000000,2629.99000000,2600.00000000,2614.46000000,29865.36800000,77967109.90210300,49314
1646420400000,2022-03-04 19:00:00,ETH/USDT,2671.56000000,2675.35000000,2610.27000000,2617.20000000,32216.93390000,84908770.14180300,56621
1646416800000,2022-03-04 18:00:00,ETH/USDT,2690.31000000,2697.50000000,2669.28000000,2671.55000000,10655.27630000,28596759.30444400,22412
1646413200000,2022-03-04 17:00:00,ETH/USDT,2675.34000000,2697.50000000,2668.47000000,2690.30000000,16747.07510000,44988031.33921500,28978
1646409600000,2022-03-04 16:00:00,ETH/USDT,2671.73000000,2684.74000000,2646.45000000,2675.35000000,36279.87610000,96713710.06995700,61023
1646406000000,2022-03-04 15:00:00,ETH/USDT,2705.63000000,2716.37000000,2666.42000000,2671.72000000,40302.83950000,108083652.55936000,54239
1646402400000,2022-03-04 14:00:00,ETH/USDT,2720.64000000,2725.51000000,2660.00000000,2705.63000000,46442.25800000,125097349.93707400,80323
1646398800000,2022-03-04 13:00:00,ETH/USDT,2730.11000000,2755.56000000,2715.00000000,2720.65000000,22235.77270000,60697563.50732900,36100
1646395200000,2022-03-04 12:00:00,ETH/USDT,2744.39000000,2750.26000000,2720.66000000,2730.11000000,17216.53660000,47075039.96934300,40389
1646391600000,2022-03-04 11:00:00,ETH/USDT,2741.80000000,2759.24000000,2736.74000000,2744.39000000,12033.64830000,33029977.03837600,25888
